import time: self [us] | cumulative | imported package
import time:      1417 |      47784 |               werkzeug.datastructures
import time:      2643 |      50426 |             werkzeug.urls
import time:      4952 |     156476 |           werkzeug.serving
import time:      1455 |       1455 |             dataclasses
import time:      4905 |       4905 |             werkzeug.sansio.multipart
import time:      2058 |       2058 |               pkgutil
import time:      2253 |       2253 |               unicodedata
import time:      1003 |       1003 |                 hmac
import time:       965 |        965 |                 secrets
import time:       954 |       2921 |               werkzeug.security
import time:       982 |        982 |                 werkzeug.sansio.utils
import time:      1417 |       2398 |               werkzeug.wsgi
import time:      2091 |      11719 |             werkzeug.utils
import time:      1363 |       1363 |                   werkzeug.formparser
import time:       909 |        909 |                     werkzeug.user_agent
import time:      1261 |       2170 |                   werkzeug.sansio.request
import time:      1686 |       5218 |                 werkzeug.wrappers.request
import time:      2355 |       2355 |                   werkzeug.sansio.response
import time:      1725 |       4079 |                 werkzeug.wrappers.response
import time:       974 |      10270 |               werkzeug.wrappers
import time:       142 |      10412 |             werkzeug.wrappers.request
import time:      2857 |      31346 |           werkzeug.test
import time:      1142 |     188964 |         werkzeug
import time:      1319 |     190282 |       werkzeug.local
import time:       733 |     192369 |     flask.globals
import time:      1244 |       1244 |           numbers
import time:      2355 |       3598 |         _decimal
import time:       670 |       4268 |       decimal
import time:      1079 |       1079 |         _uuid
import time:      1191 |       2270 |       uuid
import time:      1756 |       8293 |     flask.json.provider
import time:      1800 |     208314 |   flask.json
import time:      1538 |       1538 |         gettext
import time:      1133 |       1133 |           click._compat
import time:       712 |        712 |             click.globals
import time:      1001 |       1001 |             click.utils
import time:      1034 |       2746 |           click.exceptions
import time:      1699 |       5577 |         click.types
import time:       664 |        664 |           click.parser
import time:       742 |       1406 |         click.formatting
import time:       898 |        898 |         click.termui
import time:      4168 |      13584 |       click.core
import time:       541 |        541 |       click.decorators
import time:      1134 |      15258 |     click
import time:      1888 |       1888 |       werkzeug.routing.converters
import time:      1276 |       1276 |             _heapq
import time:       891 |       2166 |           heapq
import time:      1530 |       3696 |         difflib
import time:       811 |       4506 |       werkzeug.routing.exceptions
import time:      1716 |       1716 |         pprint
import time:      2725 |       2725 |           werkzeug.routing.rules
import time:      1286 |       4010 |         werkzeug.routing.matcher
import time:      1236 |       6961 |       werkzeug.routing.map
import time:       742 |      14095 |     werkzeug.routing
import time:      1146 |       1146 |           _csv
import time:       738 |       1884 |         csv
import time:       229 |        229 |             _winapi
import time:       177 |        177 |             nt
import time:       238 |        238 |             nt
import time:       150 |        150 |             nt
import time:       137 |        137 |             nt
import time:       353 |        353 |             nt
import time:       161 |        161 |             nt
import time:       207 |       1647 |           ntpath
import time:      1788 |       3435 |         pathlib
import time:       785 |        785 |             zipfile._path.glob
import time:      1867 |       2651 |           zipfile._path
import time:      2463 |       5113 |         zipfile
import time:       384 |        384 |             importlib.metadata._functools
import time:       544 |        928 |           importlib.metadata._text
import time:       879 |       1806 |         importlib.metadata._adapters
import time:      1141 |       1141 |         importlib.metadata._meta
import time:       815 |        815 |         importlib.metadata._collections
import time:       727 |        727 |         importlib.metadata._itertools
import time:       903 |        903 |               importlib.resources.abc
import time:       716 |        716 |               importlib.resources._adapters
import time:      1812 |       3430 |             importlib.resources._common
import time:       748 |        748 |             importlib.resources._legacy
import time:       703 |       4880 |           importlib.resources
import time:      1398 |       6277 |         importlib.abc
import time:      2524 |      23719 |       importlib.metadata
import time:       161 |        161 |         _wmi
import time:      1387 |       1548 |       platform
import time:       678 |        678 |               blinker._utilities
import time:      1472 |       2150 |             blinker.base
import time:       787 |       2936 |           blinker
import time:       569 |       3504 |         flask.signals
import time:      1187 |       4691 |       flask.helpers
import time:      1756 |      31711 |     flask.cli
import time:      2195 |       2195 |     flask.typing
import time:       714 |        714 |     flask.ctx
import time:       119 |        119 |       flask.sansio
import time:       731 |        731 |       flask.config
import time:       602 |        602 |       flask.logging
import time:       765 |        765 |               _compat_pickle
import time:      1485 |       1485 |               _pickle
import time:      1612 |       3861 |             pickle
import time:      3035 |       6895 |           jinja2.bccache
import time:      2557 |       2557 |               jinja2.utils
import time:      3206 |       5763 |             jinja2.nodes
import time:      1002 |       1002 |               jinja2.exceptions
import time:      1069 |       1069 |                 jinja2.visitor
import time:      3387 |       4456 |               jinja2.idtracking
import time:       539 |        539 |               jinja2.optimizer
import time:      2247 |       8242 |             jinja2.compiler
import time:      1182 |       1182 |                 jinja2.async_utils
import time:      1636 |       1636 |                 jinja2.runtime
import time:      2636 |       5452 |               jinja2.filters
import time:       556 |        556 |               jinja2.tests
import time:       929 |       6936 |             jinja2.defaults
import time:      1922 |       1922 |               jinja2._identifier
import time:      3636 |       5557 |             jinja2.lexer
import time:      1665 |       1665 |             jinja2.parser
import time:      2646 |      30806 |           jinja2.environment
import time:      2013 |       2013 |           jinja2.loaders
import time:      1284 |      40997 |         jinja2
import time:       454 |      41450 |       flask.templating
import time:      1083 |       1083 |       flask.sansio.scaffold
import time:      1050 |      45033 |     flask.sansio.app
import time:       833 |        833 |           itsdangerous.exc
import time:       768 |       1601 |         itsdangerous.encoding
import time:       816 |        816 |           itsdangerous.signer
import time:       907 |       1723 |         itsdangerous.serializer
import time:       904 |        904 |         itsdangerous.timed
import time:       372 |        372 |           itsdangerous._json
import time:       653 |       1025 |         itsdangerous.url_safe
import time:      1169 |       6419 |       itsdangerous
import time:       849 |        849 |       flask.json.tag
import time:      1002 |       8269 |     flask.sessions
import time:      1226 |       1226 |     flask.wrappers
import time:      1818 |     120314 |   flask.app
import time:      1430 |       1430 |     flask.sansio.blueprints
