import time: self [us] | cumulative | imported package
import time:       791 |        791 |               requests_toolbelt.utils
import time:      1357 |       2147 |             requests_toolbelt.utils.user_agent
import time:      1203 |      17396 |           requests_toolbelt
import time:      1785 |       1785 |             langsmith.env._git
import time:      1465 |       1465 |                   httpx.__version__
import time:      1259 |       1259 |                         httpx._exceptions
import time:      2506 |       2506 |                               httpx._types
import time:       941 |        941 |                               httpx._utils
import time:      1434 |       4880 |                             httpx._multipart
import time:     55014 |      59893 |                           httpx._content
import time:       177 |        177 |                             brotli
import time:        84 |         84 |                             brotlicffi
import time:      1495 |       1755 |                           httpx._decoders
import time:      2126 |       2126 |                           httpx._status_codes
import time:      3111 |       3111 |                             httpx._urlparse
import time:      1491 |       4602 |                           httpx._urls
import time:      1725 |      70098 |                         httpx._models
import time:      1373 |      72729 |                       httpx._auth
import time:      1017 |       1017 |                       httpx._config
import time:      1104 |       1104 |                             httpx._transports.base
import time:      1690 |       2793 |                           httpx._transports.asgi
import time:      1259 |       1259 |                           httpx._transports.default
import time:       829 |        829 |                           httpx._transports.mock
import time:       750 |        750 |                           httpx._transports.wsgi
import time:       819 |       6447 |                         httpx._transports
import time:        52 |       6499 |                       httpx._transports.base
import time:      3895 |      84138 |                     httpx._client
import time:      1006 |      85143 |                   httpx._api
import time:      1441 |       1441 |                       pygments
import time:      5654 |       5654 |                       pygments.lexers._mapping
import time:      1226 |       1226 |                       pygments.modeline
import time:       677 |        677 |                       pygments.plugin
import time:      1681 |       1681 |                       pygments.util
import time:      2080 |      12757 |                     pygments.lexers
import time:      2380 |       2380 |                         rich._extension
import time:      2076 |       4455 |                       rich
import time:       854 |        854 |                       rich._null_file
import time:      1302 |       1302 |                       rich.errors
import time:      1021 |       1021 |                                   rich.color_triplet
import time:      1776 |       2796 |                                 rich.palette
import time:       974 |       3769 |                               rich._palettes
import time:      1340 |       1340 |                               rich.repr
import time:       552 |        552 |                               rich.terminal_theme
import time:      2780 |       8439 |                             rich.color
import time:      1813 |      10252 |                           rich.style
import time:      1416 |      11668 |                         rich.default_styles
import time:      4381 |       4381 |                           configparser
import time:      1050 |       5430 |                         rich.theme
import time:       801 |      17898 |                       rich.themes
import time:      4880 |       4880 |                         rich._emoji_codes
import time:      1293 |       6173 |                       rich._emoji_replace
import time:      1073 |       1073 |                       rich._export_format
import time:       617 |        617 |                       rich._fileno
import time:       732 |        732 |                           rich._loop
import time:       442 |        442 |                           rich._pick
import time:       507 |        507 |                               rich._cell_widths
import time:       730 |       1237 |                             rich.cells
import time:       680 |       1916 |                           rich._wrap
import time:      2317 |       2317 |                                 rich.segment
import time:       628 |       2945 |                               rich.jupyter
import time:       599 |        599 |                                 rich.protocol
import time:       807 |       1405 |                               rich.measure
import time:       588 |       4937 |                             rich.constrain
import time:      1103 |       6040 |                           rich.align
import time:      1898 |       1898 |                           rich.containers
import time:      1317 |       1317 |                           rich.control
import time:       658 |        658 |                           rich.emoji
import time:      2443 |      15442 |                         rich.text
import time:       726 |      16167 |                       rich._log_render
import time:       783 |        783 |                       rich.highlighter
import time:      1463 |       1463 |                       rich.markup
import time:       527 |        527 |                       rich.pager
import time:       647 |        647 |                         rich.abc
import time:      3944 |       4590 |                       rich.pretty
import time:       655 |        655 |                       rich.region
import time:       651 |        651 |                           rich.box
import time:      2951 |       2951 |                           rich.padding
import time:       929 |       4530 |                         rich.panel
import time:       677 |        677 |                           rich._ratio
import time:      3312 |       3988 |                         rich.table
import time:       541 |       9059 |                       rich.scope
import time:       519 |        519 |                       rich.screen
import time:       488 |        488 |                       rich.styled
import time:      6395 |      73011 |                     rich.console
import time:       541 |        541 |                       rich.filesize
import time:      1115 |       1115 |                           rich.ansi
import time:       770 |       1884 |                         rich.file_proxy
import time:       522 |        522 |                         rich.live_render
import time:       958 |       3364 |                       rich.live
import time:       565 |        565 |                       rich.progress_bar
import time:      1066 |       1066 |                         rich._spinners
import time:       792 |       1857 |                       rich.spinner
import time:      3851 |      10176 |                     rich.progress
import time:       677 |        677 |                         pygments.filter
import time:      1330 |       1330 |                           pygments.token
import time:      1544 |       2873 |                         pygments.filters
import time:       896 |        896 |                         pygments.regexopt
import time:      1845 |       6290 |                       pygments.lexer
import time:      1290 |       1290 |                       pygments.style
import time:      1865 |       1865 |                         pygments.styles._mapping
import time:       658 |       2522 |                       pygments.styles
import time:      2030 |      12130 |                     rich.syntax
import time:      1337 |     109408 |                   httpx._main
import time:      1247 |     197262 |                 httpx
import time:     66094 |      66094 |                 langsmith.schemas
import time:      1645 |     265000 |               langsmith.utils
import time:       297 |        297 |               psutil
import time:      1120 |     266415 |             langsmith.env._runtime_env
import time:       964 |     269164 |           langsmith.env
import time:      1229 |       1229 |           langsmith._internal
import time:      4461 |       4461 |               orjson.orjson
import time:      1277 |       5738 |             orjson
import time:      2106 |       7843 |           langsmith._internal._orjson
import time:      1157 |       1157 |             langsmith._internal._compressed_traces
import time:      1453 |       1453 |             langsmith._internal._constants
import time:      1113 |       1113 |               langsmith._internal._multipart
import time:      1119 |       1119 |               langsmith._internal._serde
import time:      1548 |       3778 |             langsmith._internal._operations
import time:      1672 |       8058 |           langsmith._internal._background_thread
import time:       785 |        785 |           langsmith._internal._beta_decorator
import time:       170 |        170 |               opentelemetry
import time:        28 |        198 |             opentelemetry.sdk
import time:        41 |        238 |           opentelemetry.sdk.trace
import time:      4375 |     309085 |         langsmith.client
import time:      7972 |       7972 |         langsmith.run_trees
import time:      1190 |       1190 |         langsmith._internal._aiter
import time:      4311 |     323761 |       langsmith.run_helpers
import time:      1738 |       1738 |       langchain_core.callbacks.base
import time:      1374 |       1374 |         langchain_core.utils
import time:      3937 |       5311 |       langchain_core.callbacks.stdout
import time:      1722 |       1722 |       langchain_core.messages
import time:       877 |        877 |             langchain_core.load.mapping
import time:      6943 |       6943 |                   pydantic.functional_validators
import time:      1001 |       1001 |                   pydantic._internal._discriminated_union
import time:      1074 |       1074 |                   pydantic._internal._known_annotated_metadata
import time:      1393 |       1393 |                   pydantic._internal._schema_gather
import time:      3726 |      14135 |                 pydantic._internal._generate_schema
import time:       645 |        645 |                 pydantic._internal._signature
import time:      1815 |      16594 |               pydantic._internal._model_construction
import time:       558 |        558 |               pydantic.plugin._loader
import time:     48110 |      65261 |             langchain_core.load.serializable
import time:      1288 |      67424 |           langchain_core.load.load
import time:      1303 |      68726 |         langchain_core.load
import time:        43 |      68769 |       langchain_core.load.serializable
import time:      1044 |       1044 |       langchain_core.utils._merge
import time:      1030 |       1030 |       langchain_core.utils.interactive_env
import time:      1656 |       1656 |       langchain_core.exceptions
import time:      6232 |       6232 |         langchain_core.messages.tool
import time:      1222 |       1222 |         langchain_core.utils.json
import time:       940 |        940 |         langchain_core.utils.usage
import time:     11860 |      20253 |       langchain_core.messages.ai
import time:      5226 |       5226 |       langchain_core.messages.chat
import time:      4482 |       4482 |       langchain_core.messages.function
import time:      4300 |       4300 |       langchain_core.messages.human
import time:      2235 |       2235 |       langchain_core.messages.modifier
import time:      3502 |       3502 |       langchain_core.messages.system
import time:      1106 |       1106 |         langchain_core.tracers
import time:    122456 |     123562 |       langchain_core.tracers.schemas
import time:      1303 |       1303 |       langchain_core.utils.env
import time:     17054 |     711487 |     langchain_core.callbacks.manager
import time:      1916 |       1916 |     langchain_core.language_models
import time:      1738 |       1738 |       langchain_core.outputs
import time:      1411 |       1411 |       langchain_core.runnables
import time:      1165 |       1165 |           packaging
import time:      1167 |       1167 |             packaging._structures
import time:      3587 |       4754 |           packaging.version
import time:      1741 |       1741 |           pydantic._internal._decorators_v1
import time:      7349 |      15007 |         langchain_core.utils.pydantic
import time:      3857 |      18863 |       langchain_core.runnables.utils
import time:      9107 |      31118 |     langchain_core.caches
import time:       839 |        839 |       pydantic._internal._serializers
import time:      8187 |       9025 |     langchain_core.prompt_values
import time:      4873 |       4873 |     langchain_core.runnables.graph
import time:      1225 |       1225 |     langchain_core.utils.aiter
import time:      1010 |       1010 |     langchain_core.utils.iter
import time:      1171 |       1171 |       langchain_core.globals
import time:       823 |        823 |       langchain_core.language_models._utils
import time:      1636 |       1636 |       langchain_core.outputs.run_info
import time:       927 |        927 |       langchain_core.rate_limiters
import time:       820 |        820 |       langchain_core.tracers._streaming
import time:       783 |        783 |         langchain_core.utils.json_schema
import time:      1460 |       2243 |       langchain_core.utils.function_calling
import time:     25885 |      33503 |     langchain_core.language_models.chat_models
import time:       696 |        696 |       langchain_core.output_parsers
import time:      4262 |       4958 |     langchain_core.output_parsers.base
import time:      2248 |       2248 |       langchain_core.output_parsers.transform
import time:      5052 |       7300 |     langchain_core.output_parsers.openai_tools
import time:      1802 |       1802 |       tenacity._utils
import time:      1720 |       1720 |       tenacity.retry
import time:      1284 |       1284 |       tenacity.nap
import time:      1110 |       1110 |       tenacity.stop
import time:      1556 |       1556 |       tenacity.wait
import time:      1171 |       1171 |       tenacity.before
import time:       894 |        894 |       tenacity.after
import time:       587 |        587 |       tenacity.before_sleep
import time:       135 |        135 |       tornado
import time:      2635 |       2635 |         tenacity.asyncio.retry
import time:      1872 |       4506 |       tenacity.asyncio
import time:      3907 |      18667 |     tenacity
import time:      1100 |       1100 |     langchain_google_genai._common
import time:       984 |        984 |       langchain_core.tools
import time:       752 |        752 |       pydantic.alias_generators
import time:      5929 |       5929 |       langchain_core.tools.simple
import time:      5098 |       5098 |       langchain_core.tools.structured
import time:     10718 |      23478 |     langchain_google_genai._function_utils
import time:      2187 |       2187 |                 filetype.types.base
import time:      2105 |       4291 |               filetype.types.archive
import time:      1139 |       1139 |               filetype.types.audio
import time:      1065 |       1065 |               filetype.types.application
import time:      2083 |       2083 |               filetype.types.document
import time:       707 |        707 |               filetype.types.font
import time:       948 |        948 |                 filetype.types.isobmff
import time:      1365 |       2312 |               filetype.types.image
import time:      1228 |       1228 |               filetype.types.video
import time:      2270 |      15092 |             filetype.types
import time:      1112 |       1112 |             filetype.utils
import time:      1569 |      17772 |           filetype.match
import time:      1844 |      19616 |         filetype.filetype
import time:       966 |        966 |         filetype.helpers
import time:      1631 |      22212 |       filetype
import time:      1566 |      23777 |     langchain_google_genai._image_utils
import time:      1569 |       1569 |           yaml.error
import time:      1415 |       1415 |           yaml.tokens
import time:      1177 |       1177 |           yaml.events
import time:       919 |        919 |           yaml.nodes
import time:      6818 |       6818 |             yaml.reader
import time:      1847 |       1847 |             yaml.scanner
import time:      1481 |       1481 |             yaml.parser
import time:       964 |        964 |             yaml.composer
import time:      2663 |       2663 |             yaml.constructor
import time:      2384 |       2384 |             yaml.resolver
import time:      1196 |      17349 |           yaml.loader
import time:      1851 |       1851 |             yaml.emitter
import time:       933 |        933 |             yaml.serializer
import time:      1507 |       1507 |             yaml.representer
import time:      1288 |       5578 |           yaml.dumper
import time:      6331 |       6331 |             yaml._yaml
import time:      1216 |       7546 |           yaml.cyaml
import time:      1379 |      36928 |         yaml
import time:      8370 |      45298 |       langchain_core.language_models.llms
import time:     11574 |      56871 |     langchain_google_genai.llms
import time:      5754 |       5754 |     langchain_google_genai._genai_extension
import time:     39514 |    1190982 |   langchain_google_genai.chat_models
import time:       859 |        859 |     langchain_core.embeddings
import time:      5129 |       5988 |   langchain_google_genai.embeddings
import time:      4121 |       4121 |   langchain_google_genai.genai_aqa
import time:      1311 |       1311 |     langchain_core.documents
import time:      1241 |       1241 |     langchain_core.vectorstores
import time:      3207 |       3207 |     langchain_core.retrievers
import time:      1097 |       1097 |       pydantic._internal._dataclasses
import time:      1756 |       2852 |     pydantic.dataclasses
import time:     14079 |      22689 |   langchain_google_genai.google_vector_store
import time:      1739 |    1736479 | langchain_google_genai
import time:      4424 |       4424 |   langchain
import time:       901 |        901 |   langchain_core.example_selectors
import time:       990 |        990 |   langchain_core.example_selectors.base
import time:      1516 |       1516 |     langchain_core.prompts
import time:      4794 |       4794 |       langchain_core.prompts.base
import time:       811 |        811 |       langchain_core.utils.formatting
import time:      4375 |       9979 |     langchain_core.prompts.string
import time:      4477 |      15971 |   langchain_core.prompts.prompt
import time:      2607 |       2607 |   langchain_core.prompts.dict
import time:      4649 |       4649 |   langchain_core.prompts.image
import time:      1289 |       1289 |   langchain_core.prompts.message
import time:      2669 |       2669 |   langchain_core.output_parsers.string
import time:      2126 |       2126 |     langchain._api.deprecation
import time:       687 |        687 |       langchain._api.interactive_env
import time:       915 |       1601 |     langchain._api.module_import
import time:       956 |       4683 |   langchain._api
import time:      2147 |       2147 |   langchain.prompts.prompt
import time:     51276 |      91601 | langchain.prompts
import time:      2183 |       2183 |   langchain_community
import time:      1853 |       4036 | langchain_community.vectorstores
import time:       942 |        942 |   langchain_community.docstore
import time:      1294 |       2235 | langchain_community.docstore.base
import time:       925 |        925 | langchain_community.docstore.in_memory
import time:      1138 |       1138 |     langchain_community.utils
import time:      1598 |       2735 |   langchain_community.utils.math
import time:      1940 |       4674 | langchain_community.vectorstores.utils
import time:      1413 |       1413 |         jsonpointer
import time:      1715 |       3127 |       jsonpatch
import time:       989 |        989 |       langchain_core.output_parsers.format_instructions
import time:      9509 |       9509 |           langchain_huggingface.llms.huggingface_endpoint
import time:       140 |        140 |               langchain_huggingface.utils
import time:      1209 |       1348 |             langchain_huggingface.utils.import_utils
import time:      4467 |       5815 |           langchain_huggingface.llms.huggingface_pipeline
import time:       630 |      15953 |         langchain_huggingface.llms
import time:        77 |      16030 |       langchain_huggingface.llms.huggingface_endpoint
import time:     46408 |      66553 |     langchain_huggingface.chat_models.huggingface
import time:       929 |      67481 |   langchain_huggingface.chat_models
import time:      3327 |       3327 |     langchain_huggingface.embeddings.huggingface
import time:      3303 |       3303 |     langchain_huggingface.embeddings.huggingface_endpoint
import time:       907 |       7535 |   langchain_huggingface.embeddings
import time:      1078 |      76094 | langchain_huggingface
import time:      2790 |       2790 |     dotenv.parser
import time:      1053 |       1053 |     dotenv.variables
import time:      1219 |       5061 |   dotenv.main
import time:       829 |       5890 | dotenv
import time:      1544 |       1544 |         xml
import time:      1909 |       3452 |       xml.etree
import time:      1279 |       1279 |         xml.etree.ElementPath
import time:      4386 |       4386 |           pyexpat
import time:      4704 |       9090 |         _elementtree
import time:      3079 |      13447 |       xml.etree.ElementTree
import time:      3732 |      20630 |     nltk.internals
import time:       245 |        245 |     numpypy
import time:       884 |        884 |           nltk.metrics.distance
import time:      2744 |       2744 |           nltk.probability
import time:      2399 |       6026 |         nltk.metrics.agreement
import time:      1138 |       1138 |         nltk.metrics.aline
import time:      2715 |       2715 |             scipy.stats._warnings_errors
import time:      1275 |       1275 |                         numpy._typing._add_docstring
import time:       898 |       2172 |                       numpy.typing
import time:      2034 |       2034 |                             scipy._lib.array_api_compat.common._typing
import time:      2474 |       4508 |                           scipy._lib.array_api_compat.common._helpers
import time:       872 |       5380 |                         scipy._lib.array_api_compat.common
import time:       841 |       6220 |                       scipy._lib.array_api_compat
import time:       927 |        927 |                           scipy._lib.array_api_compat._internal
import time:      1794 |       1794 |                           scipy._lib.array_api_compat.common._aliases
import time:       859 |        859 |                             scipy._lib.array_api_compat.numpy._typing
import time:       668 |       1527 |                           scipy._lib.array_api_compat.numpy._info
import time:      2913 |       7159 |                         scipy._lib.array_api_compat.numpy._aliases
import time:      1605 |       1605 |                           scipy._lib.array_api_compat.common._linalg
import time:      1478 |       3082 |                         scipy._lib.array_api_compat.numpy.linalg
import time:       877 |        877 |                           scipy._lib.array_api_compat.common._fft
import time:      1174 |       2050 |                         scipy._lib.array_api_compat.numpy.fft
import time:      1525 |      13815 |                       scipy._lib.array_api_compat.numpy
import time:       907 |        907 |                       scipy._lib._sparse
import time:      3229 |       3229 |                       scipy._lib._docscrape
import time:      2207 |      28547 |                     scipy._lib._array_api
import time:      2339 |      30885 |                   scipy._lib._util
import time:      1602 |      32487 |                 scipy.sparse._sputils
import time:      1087 |       1087 |                 scipy.sparse._matrix
import time:      2637 |      36210 |               scipy.sparse._base
import time:      4510 |       4510 |                 scipy.sparse._sparsetools
import time:       978 |        978 |                   scipy.sparse._data
import time:      1093 |       1093 |                   scipy.sparse._index
import time:      1401 |       3472 |                 scipy.sparse._compressed
import time:      1731 |       9712 |               scipy.sparse._csr
import time:      1038 |       1038 |               scipy.sparse._csc
import time:      4899 |       4899 |                   scipy._cyutility
import time:      5391 |      10290 |                 scipy.sparse._csparsetools
import time:      1389 |      11679 |               scipy.sparse._lil
import time:       986 |        986 |               scipy.sparse._dok
import time:      1754 |       1754 |               scipy.sparse._coo
import time:      1244 |       1244 |               scipy.sparse._dia
import time:      1589 |       1589 |               scipy.sparse._bsr
import time:      2938 |       2938 |               scipy.sparse._construct
import time:       843 |        843 |               scipy.sparse._extract
import time:       953 |        953 |               scipy.sparse._matrix_io
import time:      1843 |       1843 |                 scipy._lib.deprecation
import time:       688 |       2530 |               scipy.sparse.base
import time:       821 |        821 |               scipy.sparse.bsr
import time:      1013 |       1013 |               scipy.sparse.compressed
import time:       827 |        827 |               scipy.sparse.construct
import time:       700 |        700 |               scipy.sparse.coo
import time:       386 |        386 |               scipy.sparse.csc
import time:       726 |        726 |               scipy.sparse.csr
import time:       378 |        378 |               scipy.sparse.data
import time:       683 |        683 |               scipy.sparse.dia
import time:       575 |        575 |               scipy.sparse.dok
import time:       820 |        820 |               scipy.sparse.extract
import time:       875 |        875 |               scipy.sparse.lil
import time:      1147 |       1147 |               scipy.sparse.sparsetools
import time:       635 |        635 |               scipy.sparse.sputils
import time:      5523 |       5523 |                   scipy.spatial._ckdtree
import time:      1160 |       6683 |                 scipy.spatial._kdtree
import time:      5740 |       5740 |                   scipy._lib.messagestream
import time:      5214 |       5214 |                           scipy.linalg._fblas
import time:        94 |         94 |                           scipy.linalg._cblas
import time:        62 |         62 |                           scipy.linalg._fblas_64
import time:      1590 |       6959 |                         scipy.linalg.blas
import time:      5382 |       5382 |                           scipy.linalg._flapack
import time:       172 |        172 |                           scipy.linalg._clapack
import time:       153 |        153 |                           scipy.linalg._flapack_64
import time:      2493 |       8198 |                         scipy.linalg.lapack
import time:      2187 |      17342 |                       scipy.linalg._misc
import time:      9435 |       9435 |                         scipy.linalg.cython_lapack
import time:      7081 |      16516 |                       scipy.linalg._cythonized_array_utils
import time:      6859 |       6859 |                         scipy.linalg._decomp
import time:      3306 |       3306 |                         scipy.linalg._decomp_svd
import time:      6307 |       6307 |                         scipy.linalg._solve_toeplitz
import time:      5919 |      22390 |                       scipy.linalg._basic
import time:      5718 |       5718 |                         scipy.linalg._decomp_lu_cython
import time:      2241 |       7959 |                       scipy.linalg._decomp_lu
import time:      1852 |       1852 |                       scipy.linalg._decomp_ldl
import time:      1825 |       1825 |                       scipy.linalg._decomp_cholesky
import time:      2134 |       2134 |                       scipy.linalg._decomp_qr
import time:      2412 |       2412 |                       scipy.linalg._decomp_qz
import time:      2034 |       2034 |                       scipy.linalg._decomp_schur
import time:      1612 |       1612 |                       scipy.linalg._decomp_polar
import time:      2157 |       2157 |                         scipy.linalg._expm_frechet
import time:      5311 |       5311 |                         scipy.linalg._matfuncs_schur_sqrtm
import time:      4746 |       4746 |                         scipy.linalg._matfuncs_expm
import time:      5969 |       5969 |                         scipy.linalg._linalg_pythran
import time:      4831 |      23013 |                       scipy.linalg._matfuncs
import time:      1624 |       1624 |                       scipy.linalg._special_matrices
import time:      2898 |       2898 |                       scipy.linalg._solvers
import time:      1544 |       1544 |                       scipy.linalg._procrustes
import time:      5308 |       5308 |                         scipy.linalg.cython_blas
import time:      9031 |      14338 |                       scipy.linalg._decomp_update
import time:      1884 |       1884 |                       scipy.linalg._sketches
import time:      1617 |       1617 |                       scipy.linalg._decomp_cossin
import time:      1289 |       1289 |                       scipy.linalg.decomp
import time:      1184 |       1184 |                       scipy.linalg.decomp_cholesky
import time:      1399 |       1399 |                       scipy.linalg.decomp_lu
import time:       660 |        660 |                       scipy.linalg.decomp_qr
import time:       886 |        886 |                       scipy.linalg.decomp_svd
import time:       743 |        743 |                       scipy.linalg.decomp_schur
import time:       627 |        627 |                       scipy.linalg.basic
import time:       668 |        668 |                       scipy.linalg.misc
import time:       801 |        801 |                       scipy.linalg.special_matrices
import time:       744 |        744 |                       scipy.linalg.matfuncs
import time:      2115 |     134099 |                     scipy.linalg
import time:        64 |     134162 |                   scipy.linalg.cython_lapack
import time:      5441 |     145343 |                 scipy.spatial._qhull
import time:      4042 |       4042 |                   scipy.spatial._voronoi
import time:       935 |       4976 |                 scipy.spatial._spherical_voronoi
import time:      1571 |       1571 |                   scipy._lib.decorator
import time:      1335 |       2906 |                 scipy.spatial._plotutils
import time:       764 |        764 |                 scipy.spatial._procrustes
import time:       579 |        579 |                         scipy._lib.array_api_extra._lib
import time:       976 |        976 |                             scipy._lib.array_api_extra._lib._utils
import time:       755 |        755 |                               scipy._lib._array_api_compat_vendor
import time:      1386 |       2141 |                             scipy._lib.array_api_extra._lib._utils._compat
import time:       761 |        761 |                               scipy._lib.array_api_extra._lib._utils._typing
import time:      1113 |       1873 |                             scipy._lib.array_api_extra._lib._utils._helpers
import time:      1431 |       6420 |                           scipy._lib.array_api_extra._lib._at
import time:      1352 |       7771 |                         scipy._lib.array_api_extra._lib._funcs
import time:      1556 |       9906 |                       scipy._lib.array_api_extra._delegation
import time:       961 |        961 |                       scipy._lib.array_api_extra._lib._lazy
import time:      1361 |      12227 |                     scipy._lib.array_api_extra
import time:      2830 |       2830 |                       scipy.special._sf_error
import time:      5741 |       5741 |                         scipy.special._ufuncs_cxx
import time:      5274 |       5274 |                         scipy.special._ellip_harm_2
import time:      6383 |       6383 |                         scipy.special._special_ufuncs
import time:      5420 |       5420 |                         scipy.special._gufuncs
import time:      7310 |      30126 |                       scipy.special._ufuncs
import time:     13750 |      13750 |                       scipy.special._support_alternative_backends
import time:      1289 |       1289 |                         scipy.special._input_validation
import time:      7671 |       7671 |                         scipy.special._specfun
import time:      4654 |       4654 |                         scipy.special._comb
import time:      1729 |       1729 |                         scipy.special._multiufuncs
import time:      1845 |      17186 |                       scipy.special._basic
import time:      2428 |       2428 |                       scipy.special._logsumexp
import time:      2412 |       2412 |                       scipy.special._orthogonal
import time:      1426 |       1426 |                       scipy.special._spfun_stats
import time:      1152 |       1152 |                       scipy.special._ellip_harm
import time:       761 |        761 |                       scipy.special._lambertw
import time:       707 |        707 |                       scipy.special._spherical_bessel
import time:       698 |        698 |                       scipy.special.add_newdocs
import time:       965 |        965 |                       scipy.special.basic
import time:       585 |        585 |                       scipy.special.orthogonal
import time:       781 |        781 |                       scipy.special.specfun
import time:       554 |        554 |                       scipy.special.sf_error
import time:       602 |        602 |                       scipy.special.spfun_stats
import time:      2125 |      79077 |                     scipy.special
import time:      4610 |       4610 |                     scipy.spatial._hausdorff
import time:      7780 |       7780 |                     scipy.spatial._distance_pybind
import time:      6106 |       6106 |                     scipy.spatial._distance_wrap
import time:      5298 |     115097 |                   scipy.spatial.distance
import time:       738 |     115834 |                 scipy.spatial._geometric_slerp
import time:      1153 |       1153 |                 scipy.spatial.ckdtree
import time:      1078 |       1078 |                 scipy.spatial.kdtree
import time:      1245 |       1245 |                 scipy.spatial.qhull
import time:      6285 |       6285 |                           scipy.constants._codata
import time:      2073 |       2073 |                           scipy.constants._constants
import time:       929 |        929 |                           scipy.constants.codata
import time:      1225 |       1225 |                           scipy.constants.constants
import time:      4038 |      14547 |                         scipy.constants
import time:      1442 |      15988 |                       scipy.spatial.transform._rotation_groups
import time:      7873 |      23860 |                     scipy.spatial.transform._rotation
import time:      7447 |      31307 |                   scipy.spatial.transform._rigid_transform
import time:      1102 |       1102 |                   scipy.spatial.transform._rotation_spline
import time:       889 |        889 |                   scipy.spatial.transform.rotation
import time:      1549 |      34845 |                 scipy.spatial.transform
import time:      1569 |     316389 |               scipy.spatial
import time:      1450 |       1450 |                         scipy.sparse.linalg._interface
import time:      1470 |       1470 |                         scipy.sparse.linalg._isolve.utils
import time:      1717 |       4636 |                       scipy.sparse.linalg._isolve.iterative
import time:      1344 |       1344 |                       scipy.sparse.linalg._isolve.minres
import time:      1194 |       1194 |                         scipy.sparse.linalg._isolve._gcrotmk
import time:      1433 |       2626 |                       scipy.sparse.linalg._isolve.lgmres
import time:      1226 |       1226 |                       scipy.sparse.linalg._isolve.lsqr
import time:      1142 |       1142 |                       scipy.sparse.linalg._isolve.lsmr
import time:       909 |        909 |                       scipy.sparse.linalg._isolve.tfqmr
import time:      2144 |      14024 |                     scipy.sparse.linalg._isolve
import time:      5231 |       5231 |                         scipy.sparse.linalg._dsolve._superlu
import time:       162 |        162 |                           scikits
import time:        36 |        198 |                         scikits.umfpack
import time:      1886 |       7314 |                       scipy.sparse.linalg._dsolve.linsolve
import time:       666 |        666 |                       scipy.sparse.linalg._dsolve._add_newdocs
import time:       610 |       8589 |                     scipy.sparse.linalg._dsolve
import time:       679 |        679 |                           scipy._lib._threadsafety
import time:      8325 |       8325 |                           scipy.sparse.linalg._eigen.arpack._arpack
import time:      3241 |      12244 |                         scipy.sparse.linalg._eigen.arpack.arpack
import time:      1248 |      13492 |                       scipy.sparse.linalg._eigen.arpack
import time:      1575 |       1575 |                         scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       940 |       2514 |                       scipy.sparse.linalg._eigen.lobpcg
import time:       419 |        419 |                           scipy.sparse.linalg._propack
import time:      6393 |       6393 |                           scipy.sparse.linalg._propack._spropack
import time:      6323 |       6323 |                           scipy.sparse.linalg._propack._dpropack
import time:      7804 |       7804 |                           scipy.sparse.linalg._propack._cpropack
import time:      6063 |       6063 |                           scipy.sparse.linalg._propack._zpropack
import time:      2034 |      29035 |                         scipy.sparse.linalg._svdp
import time:      2931 |      31965 |                       scipy.sparse.linalg._eigen._svds
import time:      1193 |      49162 |                     scipy.sparse.linalg._eigen
import time:       859 |        859 |                         scipy.sparse.linalg._onenormest
import time:      1063 |       1922 |                       scipy.sparse.linalg._expm_multiply
import time:      1126 |       3047 |                     scipy.sparse.linalg._matfuncs
import time:      1081 |       1081 |                     scipy.sparse.linalg._norm
import time:      1123 |       1123 |                     scipy.sparse.linalg._special_sparse_arrays
import time:       741 |        741 |                     scipy.sparse.linalg.isolve
import time:       713 |        713 |                     scipy.sparse.linalg.dsolve
import time:       651 |        651 |                     scipy.sparse.linalg.interface
import time:       482 |        482 |                     scipy.sparse.linalg.eigen
import time:       648 |        648 |                     scipy.sparse.linalg.matfuncs
import time:      1170 |      81426 |                   scipy.sparse.linalg
import time:      1440 |       1440 |                     scipy.optimize._dcsrch
import time:       991 |       2430 |                   scipy.optimize._linesearch
import time:      5479 |       5479 |                     scipy.optimize._group_columns
import time:      1484 |       6962 |                   scipy.optimize._numdiff
import time:      1138 |       1138 |                     scipy.optimize._hessian_update_strategy
import time:      1303 |       2440 |                   scipy.optimize._differentiable_functions
import time:      5207 |      98462 |                 scipy.optimize._optimize
import time:      1171 |       1171 |                     scipy.optimize._trustregion
import time:      1118 |       2288 |                   scipy.optimize._trustregion_dogleg
import time:       997 |        997 |                   scipy.optimize._trustregion_ncg
import time:      6597 |       6597 |                       scipy.optimize._trlib._trlib
import time:       789 |       7385 |                     scipy.optimize._trlib
import time:       940 |       8324 |                   scipy.optimize._trustregion_krylov
import time:       879 |        879 |                   scipy.optimize._trustregion_exact
import time:      1085 |       1085 |                       scipy.optimize._constraints
import time:       118 |        118 |                             sksparse
import time:        41 |        158 |                           sksparse.cholmod
import time:       849 |       1006 |                         scipy.optimize._trustregion_constr.projections
import time:       930 |        930 |                         scipy.optimize._trustregion_constr.qp_subproblem
import time:       782 |       2718 |                       scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:      1191 |       1191 |                       scipy.optimize._trustregion_constr.canonical_constraint
import time:      1374 |       1374 |                       scipy.optimize._trustregion_constr.tr_interior_point
import time:       987 |        987 |                       scipy.optimize._trustregion_constr.report
